id,text,label
1,This product is absolutely amazing and I love it,positive
2,Terrible experience never buying again,negative
3,It was okay nothing special,neutral
4,This product is absolutely amazing and I love it,positive
5,Great quality fast delivery,positive
6,Bad packaging but good product,
7,ok,positive
8,I hate this so much waste of money,negative
9,Neutral feeling about this purchase,neutral
10,This product is absolutely amazing and I love it,negative
11,Fast shipping arrived on time,positive
12,Would not recommend to anyone,negative
13,Average product does the job,neutral
14,Excellent customer service team,positive
15,Complete waste of money,negative
16,Not sure how I feel about this,neutral
17,Amazing quality exceeded expectations,positive
18,Broken on arrival very disappointed,negative
19,Pretty good overall satisfied,positive
20,This is an outrage,bad_label
21,Delivery was late but product fine,neutral
22,Five stars highly recommend,positive
23,One star terrible,negative
24,no text here,
25,Good value for money,positive
